Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values,,,
174,9,3001,3280,,,
175,4,1001,1125,,,
176,8,2001,2249,,,
177,11,3001,3342,,,
178,11,2001,2342,,,
179,10,2001,2311,,,
180,6,2001,2187,,,
181,1,2001,2032,,,
182,2,2001,2063,,,
183,5,1001,1156,,,
184,5,1001,1156,,,
185,10,3001,3311,,,
186,2,3001,3063,,,
187,3,2001,2094,,,
188,11,1001,1342,,,
189,6,1001,1187,,,
190,6,1001,1187,,,
191,4,3001,3125,,,
192,2,3001,3063,,,
193,6,3001,3187,,,
194,10,3001,3311,,,
195,11,2001,2342,,,
196,9,2001,2280,,,
197,9,2001,2280,,,
198,8,1001,1249,,,
199,10,3001,3311,,,
200,9,2001,2280,,,
201,6,2001,2187,,,
202,5,3001,3156,,,
203,8,1001,1249,,,
204,11,3001,3342,,,
205,9,1001,1280,,,
206,7,3001,3218,,,
207,3,2001,2094,,,
208,7,3001,3218,,,
209,7,2001,2218,,,
210,1,2001,2032,,,
211,5,3001,3156,,,
212,2,1001,1063,,,
213,11,1001,1342,,,
214,6,3001,3187,,,
215,8,1001,1249,,,
216,7,1001,1218,,,
217,6,2001,2187,,,
218,3,1001,1094,,,
219,4,3001,3125,,,
220,10,3001,3311,,,
221,7,2001,2218,,,
222,7,3001,3218,,,
223,8,2001,2249,,,
224,8,2001,2249,,,
225,8,2001,2249,,,
226,9,3001,3280,,,
227,7,1001,1218,,,
228,8,1001,1249,,,
229,9,3001,3280,,,
230,8,3001,3249,,,
231,6,3001,3187,,,
232,1,2001,2032,,,
233,6,3001,3187,,,
234,8,3001,3249,,,
235,10,2001,2311,,,
236,6,1001,1187,,,
237,1,2001,2032,,,
238,8,1001,1249,,,
239,9,3001,3280,,,
240,8,3001,3249,,,
241,7,3001,3218,,,
242,8,2001,2249,,,
243,10,1001,1311,,,
244,7,1001,1218,,,
245,2,2001,2063,,,
246,6,1001,1187,,,
247,10,1001,1311,,,
248,2,2001,2063,,,
249,10,1001,1311,,,
250,6,3001,3187,,,
251,1,1001,1032,,,
252,9,3001,3280,,,
253,11,1001,1342,,,
254,10,1001,1311,,,
255,6,2001,2187,,,
256,2,1001,1063,,,
257,1,1001,1032,,,
258,9,2001,2280,,,
259,1,3001,3032,,,
260,7,1001,1218,,,
261,2,3001,3063,,,
262,2,1001,1063,,,
263,5,2001,2156,,,
264,7,3001,3218,,,
265,3,3001,3094,,,
266,11,3001,3342,,,
267,11,3001,3342,,,
268,2,1001,1063,,,
269,5,1001,1156,,,
270,11,2001,2342,,,
271,6,2001,2187,,,
272,1,2001,2032,,,
273,1,2001,2032,,,
274,5,3001,3156,,,
275,6,1001,1187,,,
276,3,1001,1094,,,
277,8,3001,3249,,,
278,7,1001,1218,,,
279,1,3001,3032,,,
280,1,3001,3032,,,
281,2,1001,1063,,,
282,8,1001,1249,,,
283,2,1001,1063,,,
284,5,1001,1156,,,
285,2,3001,3063,,,
286,2,2001,2063,,,
287,1,3001,3032,,,
288,10,3001,3311,,,
289,6,1001,1187,,,
290,1,1001,1032,,,
291,7,2001,2218,,,
292,4,2001,2125,,,
293,10,1001,1311,,,
294,4,3001,3125,,,
295,10,1001,1311,,,
296,1,2001,2032,,,
297,6,1001,1187,,,
298,3,1001,1094,,,
299,10,2001,2311,,,
300,8,2001,2249,,,
301,3,3001,3094,,,
302,6,1001,1187,,,
303,9,3001,3280,,,
304,6,1001,1187,,,
305,9,3001,3280,,,
306,6,2001,2187,,,
307,8,2001,2249,,,
308,6,2001,2187,,,
309,6,2001,2187,,,
310,5,3001,3156,,,
311,2,3001,3063,,,
312,6,1001,1187,,,
313,6,3001,3187,,,
314,10,2001,2311,,,
315,1,3001,3032,,,
316,2,3001,3063,,,
317,11,1001,1342,,,
318,5,3001,3156,,,
319,6,1001,1187,,,
320,8,1001,1249,,,
321,6,3001,3187,,,
322,3,3001,3094,,,
323,5,1001,1156,,,
324,5,3001,3156,,,
325,3,2001,2094,,,
326,8,3001,3249,,,
327,4,2001,2125,,,
328,7,3001,3218,,,
329,6,2001,2187,,,
330,5,2001,2156,,,
331,7,2001,2218,,,
332,2,2001,2063,,,
333,11,1001,1342,,,
334,2,2001,2063,,,
335,4,1001,1125,,,
336,6,3001,3187,,,
337,8,1001,1249,,,
338,5,2001,2156,,,
339,2,3001,3063,,,
340,9,2001,2280,,,
341,6,1001,1187,,,
342,7,2001,2218,,,
343,4,2001,2125,,,
344,6,3001,3187,,,
345,6,2001,2187,,,
346,2,2001,2063,,,
347,9,2001,2280,,,
348,1,3001,3032,,,
349,9,1001,1280,,,
350,7,3001,3218,,,
351,6,3001,3187,,,
352,7,3001,3218,,,
353,4,1001,1125,,,
354,5,3001,3156,,,
355,4,2001,2125,,,
356,6,1001,1187,,,
357,6,2001,2187,,,
358,3,2001,2094,,,
359,5,2001,2156,,,
360,2,1001,1063,,,
361,5,3001,3156,,,
362,2,3001,3063,,,
363,4,3001,3125,,,
364,7,2001,2218,,,
365,11,2001,2342,,,
366,5,1001,1156,,,
367,9,1001,1280,,,
368,4,2001,2125,,,
369,10,3001,3311,,,
370,6,1001,1187,,,
371,10,2001,2311,,,
372,10,1001,1311,,,
373,7,3001,3218,,,
374,8,2001,2249,,,
375,6,1001,1187,,,
376,2,2001,2063,,,
377,3,2001,2094,,,
378,6,2001,2187,,,
379,1,3001,3032,,,
380,6,1001,1187,,,
381,10,2001,2311,,,
382,1,2001,2032,,,
383,5,2001,2156,,,
384,6,2001,2187,,,
385,9,3001,3280,,,
386,7,1001,1218,,,
387,9,1001,1280,,,
388,9,1001,1280,,,
389,9,1001,1280,,,
390,7,3001,3218,,,
391,11,3001,3342,,,
392,4,1001,1125,,,
393,2,3001,3063,,,
394,4,2001,2125,,,
395,9,2001,2280,,,
396,10,3001,3311,,,
397,2,3001,3063,,,
398,7,1001,1218,,,
399,6,2001,2187,,,
400,10,1001,1311,,,
401,7,2001,2218,,,
402,4,3001,3125,,,
403,6,3001,3187,,,
404,4,1001,1125,,,
405,9,1001,1280,,,
406,4,1001,1125,,,
407,2,1001,1063,,,
408,4,3001,3125,,,
409,4,3001,3125,,,
410,11,3001,3342,,,
411,10,1001,1311,,,
412,9,1001,1280,,,
413,4,3001,3125,,,
414,2,3001,3063,,,
415,6,3001,3187,,,
416,5,1001,1156,,,
417,4,3001,3125,,,
418,4,1001,1125,,,
419,9,3001,3280,,,
420,6,3001,3187,,,
421,3,3001,3094,,,
422,9,1001,1280,,,
423,1,2001,2032,,,
424,11,3001,3342,,,
425,2,2001,2063,,,
426,1,1001,1032,,,
427,8,1001,1249,,,
428,10,2001,2311,,,
429,8,2001,2249,,,
430,1,1001,1032,,,
431,9,1001,1280,,,
432,6,3001,3187,,,
433,1,1001,1032,,,
434,9,3001,3280,,,
435,6,3001,3187,,,
436,4,2001,2125,,,
437,3,2001,2094,,,
438,9,3001,3280,,,
439,3,1001,1094,,,
440,8,1001,1249,,,
441,1,1001,1032,,,
442,1,2001,2032,,,
443,6,1001,1187,,,
444,9,2001,2280,,,
445,9,3001,3280,,,
446,4,2001,2125,,,
447,8,2001,2249,,,
448,6,1001,1187,,,
449,6,1001,1187,,,
450,3,1001,1094,,,
451,2,3001,3063,,,
452,10,2001,2311,,,
453,8,1001,1249,,,
454,3,3001,3094,,,
455,9,3001,3280,,,
456,9,1001,1280,,,
457,9,2001,2280,,,
458,5,1001,1156,,,
459,4,2001,2125,,,
460,1,3001,3032,,,
461,10,2001,2311,,,
462,6,1001,1187,,,
463,6,3001,3187,,,
464,6,1001,1187,,,
465,8,2001,2249,,,
466,9,2001,2280,,,
467,6,2001,2187,,,
468,8,3001,3249,,,
469,7,2001,2218,,,
470,3,1001,1094,,,
471,6,2001,2187,,,
472,2,3001,3063,,,
473,8,2001,2249,,,
474,8,3001,3249,,,
475,9,3001,3280,,,
476,4,3001,3125,,,
477,2,2001,2063,,,
478,11,1001,1342,,,
479,10,3001,3311,,,
480,8,3001,3249,,,
481,8,3001,3249,,,
482,6,1001,1187,,,
483,3,1001,1094,,,
484,6,1001,1187,,,
485,10,2001,2311,,,
486,8,3001,3249,,,
487,7,1001,1218,,,
488,5,2001,2156,,,
489,3,2001,2094,,,
490,8,2001,2249,,,
491,1,3001,3032,,,
492,6,3001,3187,,,
493,6,1001,1187,,,
494,8,2001,2249,,,
495,5,3001,3156,,,
496,6,1001,1187,,,
497,9,3001,3280,,,
498,5,2001,2156,,,
499,3,3001,3094,,,
500,6,2001,2187,,,
501,5,3001,3156,,,
502,1,1001,1032,,,
503,4,1001,1125,,,
504,8,1001,1249,,,
505,3,3001,3094,,,
506,11,2001,2342,,,
507,6,1001,1187,,,
508,9,1001,1280,,,
509,4,3001,3125,,,
510,6,3001,3187,,,
511,6,3001,3187,,,
512,6,1001,1187,,,
513,8,2001,2249,,,
514,9,3001,3280,,,
515,11,2001,2342,,,
516,1,3001,3032,,,
517,4,2001,2125,,,
518,4,1001,1125,,,
519,6,2001,2187,,,
520,8,2001,2249,,,
521,10,2001,2311,,,
522,6,1001,1187,,,
523,6,3001,3187,,,
524,9,3001,3280,,,
525,2,1001,1063,,,
526,9,2001,2280,,,
527,11,3001,3342,,,
528,6,3001,3187,,,
529,11,2001,2342,,,
530,5,3001,3156,,,
531,3,1001,1094,,,
532,6,3001,3187,,,
533,5,2001,2156,,,
534,1,3001,3032,,,
535,6,1001,1187,,,
536,2,2001,2063,,,
537,11,3001,3342,,,
538,1,1001,1032,,,
539,7,1001,1218,,,
540,6,1001,1187,,,
541,11,1001,1342,,,
542,6,2001,2187,,,
543,4,2001,2125,,,
544,6,1001,1187,,,
545,6,2001,2187,,,
546,3,2001,2094,,,
547,6,2001,2187,,,
548,7,3001,3218,,,
549,10,3001,3311,,,
550,8,3001,3249,,,
551,2,3001,3063,,,
552,8,1001,1249,,,
553,6,3001,3187,,,
554,9,2001,2280,,,
555,2,2001,2063,,,
556,7,3001,3218,,,
557,11,3001,3342,,,
558,3,2001,2094,,,
559,10,3001,3311,,,
560,11,1001,1342,,,
561,11,3001,3342,,,
562,10,3001,3311,,,
563,5,3001,3156,,,
564,10,3001,3311,,,
565,2,2001,2063,,,
566,9,1001,1280,,,
567,7,3001,3218,,,
568,9,2001,2280,,,
569,9,2001,2280,,,
570,10,1001,1311,,,
571,8,2001,2249,,,
572,7,3001,3218,,,
573,1,3001,3032,,,
574,2,1001,1063,,,
575,10,1001,1311,,,
576,10,2001,2311,,,
577,7,3001,3218,,,
578,6,3001,3187,,,
579,3,3001,3094,,,
580,5,1001,1156,,,
581,2,3001,3063,,,
582,2,3001,3063,,,
583,7,3001,3218,,,
584,3,1001,1094,,,
585,5,3001,3156,,,
586,4,2001,2125,,,
587,10,3001,3311,,,
588,11,1001,1342,,,
589,11,2001,2342,,,
590,6,2001,2187,,,
591,6,1001,1187,,,
592,1,3001,3032,,,
593,9,3001,3280,,,
594,5,3001,3156,,,
595,6,1001,1187,,,
596,6,1001,1187,,,
597,3,1001,1094,,,
598,11,2001,2342,,,
599,6,3001,3187,,,
600,6,1001,1187,,,
601,1,1001,1032,,,
602,10,2001,2311,,,
603,9,2001,2280,,,
604,9,3001,3280,,,
605,9,3001,3280,,,
606,7,1001,1218,,,
607,1,1001,1032,,,
608,2,1001,1063,,,
609,4,3001,3125,,,
610,5,2001,2156,,,
611,5,1001,1156,,,
612,6,2001,2187,,,
613,2,1001,1063,,,
614,11,1001,1342,,,
615,4,1001,1125,,,
616,6,2001,2187,,,
617,9,3001,3280,,,
618,4,1001,1125,,,
619,10,1001,1311,,,
620,1,2001,2032,,,
621,11,3001,3342,,,
622,11,2001,2342,,,
623,10,2001,2311,,,
624,1,3001,3032,,,
625,1,3001,3032,,,
626,7,3001,3218,,,
627,5,2001,2156,,,
628,5,2001,2156,,,
629,9,3001,3280,,,
630,11,3001,3342,,,
631,6,1001,1187,,,
632,2,2001,2063,,,
633,10,1001,1311,,,
634,5,1001,1156,,,
635,6,2001,2187,,,
636,1,2001,2032,,,
637,10,3001,3311,,,
638,9,3001,3280,,,
639,2,2001,2063,,,
640,4,1001,1125,,,
641,7,3001,3218,,,
642,6,2001,2187,,,
643,11,2001,2342,,,
644,1,1001,1032,,,
645,4,1001,1125,,,
646,11,1001,1342,,,
647,8,1001,1249,,,
648,2,3001,3063,,,
649,4,3001,3125,,,
650,11,1001,1342,,,
651,7,1001,1218,,,
652,2,3001,3063,,,
653,8,3001,3249,,,
654,7,1001,1218,,,
655,10,1001,1311,,,
656,4,3001,3125,,,
657,4,2001,2125,,,
658,6,2001,2187,,,
659,5,1001,1156,,,
660,4,1001,1125,,,
661,1,3001,3032,,,
662,9,1001,1280,,,
663,5,3001,3156,,,
664,1,1001,1032,,,
665,4,3001,3125,,,
666,2,2001,2063,,,
667,6,1001,1187,,,
668,5,3001,3156,,,
669,4,1001,1125,,,
670,5,2001,2156,,,
671,5,3001,3156,,,
672,7,1001,1218,,,
673,2,3001,3063,,,
674,4,2001,2125,,,
675,10,3001,3311,,,
676,9,2001,2280,,,
677,4,3001,3125,,,
678,8,2001,2249,,,
679,3,2001,2094,,,
680,10,1001,1311,,,
681,1,2001,2032,,,
682,4,3001,3125,,,
683,6,2001,2187,,,
684,1,1001,1032,,,
685,10,3001,3311,,,
686,8,2001,2249,,,
687,8,3001,3249,,,
688,4,1001,1125,,,
689,7,3001,3218,,,
690,6,1001,1187,,,
691,10,2001,2311,,,
692,11,1001,1342,,,
693,2,2001,2063,,,
694,6,3001,3187,,,
695,4,1001,1125,,,
696,6,1001,1187,,,
697,5,2001,2156,,,
698,8,1001,1249,,,
699,4,3001,3125,,,
700,8,3001,3249,,,
701,6,2001,2187,,,
702,9,2001,2280,,,
703,5,1001,1156,,,
704,6,3001,3187,,,
705,5,1001,1156,,,
706,6,2001,2187,,,
707,1,1001,1032,,,
708,6,2001,2187,,,
709,9,2001,2280,,,
710,9,3001,3280,,,
711,8,1001,1249,,,
712,8,1001,1249,,,
713,3,3001,3094,,,
714,9,1001,1280,,,
715,3,3001,3094,,,
716,11,2001,2342,,,
717,1,2001,2032,,,
718,8,3001,3249,,,
719,2,3001,3063,,,
720,8,1001,1249,,,
721,6,2001,2187,,,
722,8,1001,1249,,,
723,6,3001,3187,,,
724,2,1001,1063,,,
725,11,2001,2342,,,
726,10,3001,3311,,,
727,7,3001,3218,,,
728,8,1001,1249,,,
729,1,3001,3032,,,
730,11,1001,1342,,,
731,4,1001,1125,,,
732,10,3001,3311,,,
733,9,1001,1280,,,
734,9,2001,2280,,,
735,10,3001,3311,,,
736,9,2001,2280,,,
737,3,2001,2094,,,
738,9,1001,1280,,,
739,7,2001,2218,,,
740,10,2001,2311,,,
741,4,1001,1125,,,
742,8,2001,2249,,,
743,6,1001,1187,,,
744,8,1001,1249,,,
745,2,1001,1063,,,
746,1,1001,1032,,,
747,1,2001,2032,,,
748,7,1001,1218,,,
749,6,2001,2187,,,
750,2,2001,2063,,,
751,10,1001,1311,,,
752,6,1001,1187,,,
753,7,3001,3218,,,
754,8,3001,3249,,,
755,10,1001,1311,,,
756,2,3001,3063,,,
757,6,1001,1187,,,
758,11,2001,2342,,,
759,8,2001,2249,,,
760,6,1001,1187,,,
761,6,1001,1187,,,
762,10,2001,2311,,,
763,4,3001,3125,,,
764,5,1001,1156,,,
765,10,2001,2311,,,
766,3,1001,1094,,,
767,5,2001,2156,,,
768,3,1001,1094,,,
769,9,3001,3280,,,
770,7,2001,2218,,,
771,1,2001,2032,,,
772,4,2001,2125,,,
773,8,3001,3249,,,
774,8,3001,3249,,,
775,5,2001,2156,,,
776,1,3001,3032,,,
777,6,3001,3187,,,
778,8,1001,1249,,,
779,10,1001,1311,,,
780,3,3001,3094,,,
781,4,3001,3125,,,
782,6,2001,2187,,,
783,6,2001,2187,,,
784,1,3001,3032,,,
785,4,2001,2125,,,
786,11,2001,2342,,,
787,10,1001,1311,,,
788,4,1001,1125,,,
789,11,3001,3342,,,
790,3,2001,2094,,,
791,3,3001,3094,,,
792,6,1001,1187,,,
793,9,2001,2280,,,
794,6,1001,1187,,,
795,3,3001,3094,,,
796,3,1001,1094,,,
797,7,2001,2218,,,
798,8,1001,1249,,,
799,6,1001,1187,,,
800,1,1001,1032,,,
801,9,3001,3280,,,
802,6,2001,2187,,,
803,6,2001,2187,,,
804,3,2001,2094,,,
805,9,3001,3280,,,
806,7,3001,3218,,,
807,2,3001,3063,,,
808,2,1001,1063,,,
809,2,1001,1063,,,
810,1,3001,3032,,,
811,1,2001,2032,,,
812,7,3001,3218,,,
813,6,1001,1187,,,
814,8,3001,3249,,,
815,8,2001,2249,,,
816,6,1001,1187,,,
817,7,2001,2218,,,
818,3,1001,1094,,,
819,6,2001,2187,,,
820,10,3001,3311,,,
821,6,1001,1187,,,
822,7,1001,1218,,,
823,4,2001,2125,,,
824,2,1001,1063,,,
825,2,2001,2063,,,
826,7,2001,2218,,,
827,9,1001,1280,,,
828,5,2001,2156,,,
829,6,2001,2187,,,
830,1,3001,3032,,,
831,4,2001,2125,,,
832,1,3001,3032,,,
833,10,1001,1311,,,
834,6,3001,3187,,,
835,2,3001,3063,,,
836,6,2001,2187,,,
837,11,1001,1342,,,
838,4,3001,3125,,,
839,11,3001,3342,,,
840,7,3001,3218,,,
841,11,3001,3342,,,
842,1,2001,2032,,,
843,6,2001,2187,,,
844,3,2001,2094,,,
845,6,3001,3187,,,
846,2,1001,1063,,,
847,6,2001,2187,,,
848,10,2001,2311,,,
849,8,3001,3249,,,
850,9,2001,2280,,,
851,2,2001,2063,,,
852,6,1001,1187,,,
853,6,1001,1187,,,
854,6,1001,1187,,,
855,8,2001,2249,,,
856,4,2001,2125,,,
857,9,3001,3280,,,
858,10,2001,2311,,,
859,4,1001,1125,,,
860,10,2001,2311,,,
861,9,2001,2280,,,
862,10,2001,2311,,,
863,8,3001,3249,,,
864,6,3001,3187,,,
865,4,2001,2125,,,
866,8,3001,3249,,,
867,2,1001,1063,,,
868,9,2001,2280,,,
869,10,3001,3311,,,
870,1,2001,2032,,,
871,11,3001,3342,,,
872,2,1001,1063,,,
873,3,2001,2094,,,
874,8,3001,3249,,,
875,10,1001,1311,,,
876,7,3001,3218,,,
877,3,1001,1094,,,
878,6,3001,3187,,,
879,10,1001,1311,,,
880,10,2001,2311,,,
881,5,2001,2156,,,
882,3,1001,1094,,,
883,3,3001,3094,,,
884,4,1001,1125,,,
885,6,3001,3187,,,
886,2,1001,1063,,,
887,4,3001,3125,,,
888,2,2001,2063,,,
889,6,1001,1187,,,
890,10,2001,2311,,,
891,10,3001,3311,,,
892,3,2001,2094,,,
893,3,3001,3094,,,
894,4,2001,2125,,,
895,7,2001,2218,,,
896,10,3001,3311,,,
897,6,2001,2187,,,
898,2,1001,1063,,,
899,3,3001,3094,,,
900,1,2001,2032,,,
901,4,1001,1125,,,
902,6,3001,3187,,,
903,2,2001,2063,,,
904,6,2001,2187,,,
905,4,2001,2125,,,
906,5,1001,1156,,,
907,6,3001,3187,,,
908,7,1001,1218,,,
909,11,3001,3342,,,
910,4,2001,2125,,,
911,5,2001,2156,,,
912,11,1001,1342,,,
913,4,2001,2125,,,
914,8,2001,2249,,,
915,9,3001,3280,,,
916,6,3001,3187,,,
917,11,3001,3342,,,
918,6,3001,3187,,,
919,7,3001,3218,,,
920,6,3001,3187,,,
921,2,2001,2063,,,
922,1,3001,3032,,,
923,6,2001,2187,,,
924,6,3001,3187,,,
925,4,3001,3125,,,
926,1,3001,3032,,,
927,6,3001,3187,,,
928,7,1001,1218,,,
929,11,3001,3342,,,
930,4,3001,3125,,,
931,8,2001,2249,,,
932,1,1001,1032,,,
933,1,1001,1032,,,
934,6,1001,1187,,,
935,10,2001,2311,,,
936,6,2001,2187,,,
937,2,1001,1063,,,
938,2,3001,3063,,,
939,5,3001,3156,,,
940,5,2001,2156,,,
941,6,2001,2187,,,
942,6,1001,1187,,,
943,6,2001,2187,,,
944,7,3001,3218,,,
945,2,1001,1063,,,
946,6,1001,1187,,,
947,8,1001,1249,,,
948,7,1001,1218,,,
949,1,1001,1032,,,
950,1,2001,2032,,,
951,2,3001,3063,,,
952,6,2001,2187,,,
953,10,3001,3311,,,
954,1,2001,2032,,,
955,2,2001,2063,,,
956,9,2001,2280,,,
957,8,1001,1249,,,
958,5,2001,2156,,,
959,6,1001,1187,,,
960,5,2001,2156,,,
961,6,1001,1187,,,
962,8,3001,3249,,,
963,2,1001,1063,,,
964,2,2001,2063,,,
965,6,2001,2187,,,
966,5,3001,3156,,,
967,8,2001,2249,,,
968,2,1001,1063,,,
969,9,2001,2280,,,
970,1,3001,3032,,,
971,8,1001,1249,,,
972,6,2001,2187,,,
973,4,3001,3125,,,
974,10,3001,3311,,,
975,11,3001,3342,,,
976,6,2001,2187,,,
977,10,2001,2311,,,
978,1,3001,3032,,,
979,10,1001,1311,,,
980,2,1001,1063,,,
981,9,1001,1280,,,
982,6,2001,2187,,,
983,6,2001,2187,,,
984,2,3001,3063,,,
985,4,3001,3125,,,
986,2,2001,2063,,,
987,8,1001,1249,,,
988,8,1001,1249,,,
989,1,3001,3032,,,
990,6,3001,3187,,,
991,5,2001,2156,,,
992,6,2001,2187,,,
993,3,2001,2094,,,
994,3,2001,2094,,,
995,5,2001,2156,,,
996,1,3001,3032,,,
997,2,2001,2063,,,
998,4,2001,2125,,,
999,4,3001,3125,,,
Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values,,,
0,6,21,207,,,
1,3,21,114,,,
2,9,11,290,,,
3,3,11,104,,,
4,4,31,155,,,
5,2,11,73,,,
6,8,11,259,,,
7,9,11,290,,,
8,11,21,362,,,
9,1,11,42,,,
10,4,31,155,,,
11,3,21,114,,,
12,11,21,362,,,
13,10,11,321,,,
14,6,21,207,,,
15,2,31,93,,,
16,7,31,248,,,
17,9,21,300,,,
18,9,11,290,,,
19,6,21,207,,,
20,5,31,186,,,
21,5,21,176,,,
22,6,21,207,,,
23,8,21,269,,,
24,1,31,62,,,
25,11,21,362,,,
26,8,11,259,,,
27,10,21,331,,,
28,9,21,300,,,
29,8,21,269,,,
30,7,21,238,,,
31,4,31,155,,,
32,2,21,83,,,
33,6,11,197,,,
34,6,11,197,,,
35,2,21,83,,,
36,8,31,279,,,
37,6,11,197,,,
38,6,21,207,,,
39,10,21,331,,,
40,1,31,62,,,
41,10,11,321,,,
42,4,21,145,,,
43,11,31,372,,,
44,11,31,372,,,
45,3,31,124,,,
46,3,31,124,,,
47,2,11,73,,,
48,3,11,104,,,
49,1,21,52,,,
50,5,21,176,,,
51,6,31,217,,,
52,11,21,362,,,
53,9,21,300,,,
54,8,21,269,,,
55,3,11,104,,,
56,9,31,310,,,
57,10,21,331,,,
58,1,31,62,,,
59,7,21,238,,,
60,1,11,42,,,
61,10,11,321,,,
62,2,21,83,,,
63,5,11,166,,,
64,4,21,145,,,
65,4,21,145,,,
66,10,31,341,,,
67,10,21,331,,,
68,10,31,341,,,
69,9,21,300,,,
70,11,31,372,,,
71,2,31,93,,,
72,1,11,42,,,
73,3,31,124,,,
74,7,21,238,,,
75,6,21,207,,,
76,3,11,104,,,
77,11,21,362,,,
78,7,11,228,,,
79,2,21,83,,,
80,5,31,186,,,
